coin,trivial-completed
42,1
AC,1
ACOIN,1
AGS,1
ALF,1
ALN,1
AMC,1
ANC,1
APEX,1
ARCH,1
ARG,1
ARI,1
AUR,1
AXR,1
BCX,1
BEN,1
BET,1
BITB,1
BLK,1
BLU,1
BNCR,1
BOST,1
BQC,1
BTB,1
BTCD,1
BTE,1
BTG,1
BTM,1
BUK,1
CACH,1
CAIx,1
CANN,1
CAP,0
CASH,1
CAT,1
CBX,1
CCN,1
CIN,1
CINNI,1
CKC,1
CLAM,1
CLOAK,1
CLR,0
CMC,0
CNC,1
CNL,1
COMM,1
COOL,1
CRACK,1
CRAIG,1
CRC,1
CRYPT,1
CSC,1
DASH,0
DEM,1
DGB,1
DGC,1
DMD,0
DOGE,0
DOGED,1
DRKC,1
DSB,1
DT,1
DVC,0
EAC,1
EFL,1
ELC,1
EMC2,1
EMD,1
EXCL,1
EXE,1
EZC,1
FC2,1
FFC,1
FIBRE,1
FLT,1
FRAC,1
FRC,0
FRK,1
FST,1
FTC,0
GB,1
GDC,1
GLC,1
GLD,1
GLX,1
GLYPH,1
GML,1
GUE,1
HAL,1
HBN,1
HUC,1
HVC,1
HYP,1
ICB,1
IFC,1
IOC,1
IXC,0
JBS,1
JKC,0
JUDGE,1
KDC,1
KEY,1
KGC,1
LAB,1
LGD,1
LK7,1
LKY,0
LSD,1
LTB,1
LTC,0
LTCD,1
LTCX,1
LXC,1
LYC,1
MAX,1
MEC,0
MED,1
MIN,1
MINT,1
MN,1
MNC,0
MNE,1
MRY,1
MYR,1
MYST,1
MZC,1
NAN,1
NAUT,1
NAV,1
NBL,1
NEC,1
NET,0
NMB,1
NMC,1
NOBL,1
NRB,1
NRS,1
NVC,0
NXT,0
NYAN,1
OPAL,1
ORB,1
OSC,1
PHS,1
POT,1
PPC,0
PSEUD,1
PTS,1
PXC,1
PYC,1
QRK,0
RDD,1
RIPO,1
RPC,1
RT2,1
RYC,0
RZR,1
SAT2,1
SBC,1
SDC,1
SFR,1
SHADE,1
SHLD,1
SILK,1
SLG,1
SMC,0
SOLE,1
SPA,1
SPT,0
SRC,1
SSV,1
STR,0
SUPER,1
SWIFT,1
SXC,1
SYNC,1
SYS,1
TAG,1
TAK,1
TEK,1
TES,1
TGC,1
TIT,1
TOR,1
TRC,1
TTC,1
ULTC,1
UNB,1
UNO,0
URO,1
USDe,1
UTC,1
UTIL,1
VDO,1
VIA,1
VOOT,1
VRC,1
VTC,0
WC,1
WDC,0
XAI,1
XBOT,1
XC,1
XCASH,1
XCR,1
XJO,1
XLB,1
XPM,0
XRP,0
XST,1
XXX,1
YAC,0
ZCC,1
ZED,1
ZET,0
ZRC,1
BERN,1
TRUMP,1
CADASTRAL,1
ETH,0
MIOTA,0
XMR,0
STEEM,0
MAID,0
NXS,0
AMP,0
MUE,0
PIVX,0
XEM,0
WAVES,0
ARDR,0
SC,0
FCT,0
STRAT,0
EXP,0
LSK,0
XLM,0
ETC,0
1CR,1
BTS,0
